plot_name,node_id_mean,node_id_std,node_id_min,node_id_max,node_id_nonzero_count,building_density_mean,building_density_std,building_density_min,building_density_max,building_density_nonzero_count,mean_centroid_distance_mean,mean_centroid_distance_std,mean_centroid_distance_min,mean_centroid_distance_max,mean_centroid_distance_nonzero_count,poi_count_mean,poi_count_std,poi_count_min,poi_count_max,poi_count_nonzero_count,poi_density_mean,poi_density_std,poi_density_min,poi_density_max,poi_density_nonzero_count,poi_diversity_mean,poi_diversity_std,poi_diversity_min,poi_diversity_max,poi_diversity_nonzero_count
Beijing_Dashilan,617.5,356.94677474379847,0,1235,1235,0.12450750747944193,0.18119547829275867,0.0,1.0000000000000002,703,13.212878618740053,24.44651414016719,0.0,231.0169950407577,385,0.5380258899676376,1.5172991087996015,0,26,327,0.00014653885863636534,0.00039675848782900493,0.0,0.004902450228124,327,0.0,0.0,0.0,0.0,0
Beijing_Dongsi,577.0,333.5640867959259,0,1154,1154,0.14810834169154355,0.16924310908041204,0.0,1.0157276841077567,761,18.355634282380798,27.581902619712338,0.0,169.9414970707573,451,0.6277056277056277,1.2426258815028648,0,11,368,0.0001850173279396778,0.0004598792594121656,0.0,0.007376617922388,368,0.0,0.0,0.0,0.0,0
Beijing_Huangcheng,873.0,504.45977705528384,0,1746,1746,0.22339866318972412,0.25553604133378954,0.0,1.8208618662251168,1298,16.15550558746245,23.534013282260556,0.0,211.21171701045944,816,0.36290784201488263,1.0611099972246008,0,14,355,0.00018832967688193434,0.0008179888659244919,0.0,0.0137701600276984,355,0.0,0.0,0.0,0.0,0
Changchun_Yiqi,126.5,73.4676799688135,0,253,253,0.051656987885778376,0.09732208085862654,0.0,0.6810159553708548,91,12.969223977220885,37.623826822283355,0.0,305.7550849650661,53,2.0826771653543306,4.770323188033577,0,41,111,0.00012843431300825722,0.0002825354575893958,0.0,0.0025464887625507,111,0.0,0.0,0.0,0.0,0
Chongqing_Ciqikou,112.0,65.09608283145768,0,224,224,0.007773189235988834,0.040246613566548614,0.0,0.4936080454850132,23,5.061774286727496,29.584938531895975,0.0,337.57049262767964,11,3.04,5.653949315048989,0,47,135,0.0003838763407271211,0.0008205069445319757,0.0,0.0055800536454179,135,0.0,0.0,0.0,0.0,0
Fuzhou_Sanfang,340.5,197.02072649004893,0,681,681,0.1521203706885801,0.2747100105758386,0.0,2.0,309,12.447617900485971,23.61708124875072,0.0,138.9943754130929,176,1.1422287390029326,2.7742268339417824,0,20,208,0.00018169206491820252,0.0004679297335332048,0.0,0.0043489403761021,208,0.0,0.0,0.0,0.0,0
Hangzhou_Zhongshan,516.0,298.3457166889893,0,1032,1032,0.29277211678221726,0.20933278624734533,0.0,0.9525037770536396,855,21.454877016357784,27.401579609534142,0.0,400.3238174101372,537,0.818973862536302,2.0958495604718514,0,26,328,0.00019283136494766196,0.00048557283430207,0.0,0.0053553797237856,328,0.0,0.0,0.0,0.0,0
Honghe_Shipin,140.5,81.55059779057416,0,281,281,0.0035471053080791317,0.01599170060878222,0.0,0.1850582686831693,22,3.5781419190151342,20.085855714167206,0.0,242.7914428313664,17,1.975177304964539,3.0352767209468015,0,24,175,0.00016301395464942493,0.0002523859036948561,0.0,0.0015511948457648,175,0.0,0.0,0.0,0.0,0
Huangshan_Tunxi,148.5,86.1694067907321,0,297,297,0.05757163089607459,0.1180792813879817,0.0,0.6568035731935059,105,8.505494325871487,29.114742910676732,0.0,324.4692171549329,49,2.208053691275168,3.4597739709072597,0,21,170,0.0003885098975533796,0.0008023992560225664,0.0,0.0049890425801497,170,0.0,0.0,0.0,0.0,0
Kuche_Resitan,70.0,40.847276531000205,0,140,140,0.015468027971727957,0.0453261731724616,0.0,0.2461524233635345,31,25.383531887607283,104.52800211492558,0.0,743.0653207238616,20,3.4893617021276597,5.116663283927742,0,29,95,0.00013619562102532582,0.00022595857308444728,0.0,0.0013793742375257,95,0.0,0.0,0.0,0.0,0
Langzhong_Huaguang,123.5,71.73562573784382,0,247,247,0.010504370197697422,0.04782779734920577,0.0,0.3536254379134944,24,2.7598326902638353,13.098543770840893,0.0,110.7288785555823,12,3.5403225806451615,5.949720768528187,0,42,179,0.0003162504050665666,0.0004654229439751441,0.0,0.0025515922286369,179,0.0,0.0,0.0,0.0,0
Nanjing_Meiyuan,301.0,174.21538393609217,0,602,602,0.18023289926537703,0.18105657781556309,0.0,0.8946905793475608,445,26.861332138475273,35.72487582966366,0.0,219.2009520555124,316,1.328358208955224,3.4939399541255307,0,61,234,0.0002068436324714703,0.0004410254849940799,0.0,0.0038882828659746,234,0.0,0.0,0.0,0.0,0
Nanjing_Yihe,338.5,195.86602563997667,0,677,677,0.14246000878987125,0.18632067409903533,0.0,0.9267122424898429,436,15.03342558521949,30.147065935613192,0.0,224.542660407028,224,1.1799410029498525,2.6078076151844503,0,31,254,0.00022621675743145735,0.000493504240378414,0.0,0.0040373134120508,254,0.0,0.0,0.0,0.0,0
Qiqihar_Luoxiya,41.0,24.1039415863879,0,82,82,0.009645864366040346,0.03214449767590221,0.0,0.213329916251137,13,7.213875828224882,40.60868685163519,0.0,355.1958619186064,6,3.4216867469879517,11.15863493916502,0,81,35,0.00011267002458259624,0.00023232229256867805,0.0,0.0011727907866312,35,0.0,0.0,0.0,0.0,0
Quanzhou_Zhongshan,135.0,78.37516613485847,0,270,270,0.028377740962405123,0.09729650617321839,0.0,0.8019895897994476,45,6.870969732918008,29.28240724093424,0.0,306.3409137834788,22,2.678966789667897,5.3544962451787885,0,41,161,0.0002068313647668186,0.00035338757053145995,0.0,0.0027222621366332,161,0.0,0.0,0.0,0.0,0
Shanghai_Waitan,547.5,316.5322521745085,0,1095,1095,0.32877266450313125,0.2587361385937397,0.0,1.5210734032489568,876,18.722043270281954,31.053267853665844,0.0,512.7343511819203,595,0.6925182481751825,2.199082135144047,0,33,282,0.0002447985306513214,0.000914822870195327,0.0,0.0214876685534978,282,0.0,0.0,0.0,0.0,0
Shaoxing_Cangqian,151.5,87.90145998029081,0,303,303,0.04699636927251899,0.11411151254476812,0.0,0.7179331835850663,100,8.64311700834213,26.397155370990617,0.0,276.89593797990807,43,2.4473684210526314,3.470363870716026,0,26,209,0.00026931124250673724,0.0003930702793825552,0.0,0.0023043227852354,209,0.0,0.0,0.0,0.0,0
Suzhou_Pinjiang,404.5,233.97115206794192,0,809,809,0.1934580266180277,0.16444513279447903,0.0,0.94651250291427,651,28.849669551150782,29.700413449350968,0.0,172.45088506703328,515,0.9024691358024691,2.0660583509854242,0,25,278,0.00016246266134514764,0.0003492299629060059,0.0,0.0029295538473863,278,0.0,0.0,0.0,0.0,0
Suzhou_Shantang,234.0,135.53289883517826,0,468,468,0.056236233364090164,0.12242584400997535,0.0,0.9018259683453784,173,14.606890100191748,35.565707664566766,0.0,293.27632207809006,114,1.4861407249466951,3.8428421402910695,0,35,194,0.00018023485959238865,0.000496326011504681,0.0,0.0048238540189495,194,0.0,0.0,0.0,0.0,0
Tianjin_Wudadao,348.0,201.35085464598023,0,696,696,0.19102166997100833,0.21502771363272596,0.0,1.1330301821572988,431,23.118877476275067,30.971286937171353,0.0,210.40312992200853,311,1.1233859397417503,2.419208574748226,0,19,273,0.00022025825421728706,0.0005040991307524659,0.0,0.0058198913324196,273,0.0,0.0,0.0,0.0,0
Wuhan_Jianghan,362.5,209.7224356143138,0,725,725,0.07749984428776723,0.15475310915135873,0.0,0.7301723594645174,227,7.83175228250714,20.163262293903895,0.0,157.06185761931366,122,1.0261707988980717,2.736346105054973,0,39,258,0.0003142545706923568,0.0008705531168663039,0.0,0.0096572492550769,258,0.0,0.0,0.0,0.0,0
Yangzhou_Nanhexia,222.0,128.60469146445112,0,444,444,0.025262366942775095,0.07799806459006833,0.0,0.8525752888015246,106,13.519998966434532,45.50186025134886,0.0,460.0163108887898,69,1.743820224719101,3.1504309392118377,0,24,230,0.0002440543559894901,0.0004356561082035564,0.0,0.0028315447664763,230,0.0,0.0,0.0,0.0,0
Yining_Qianjin,117.0,67.98284097231203,0,234,234,0.025750754598587434,0.05768300302830536,0.0,0.3081830630896278,77,20.920785044289207,69.70686539494304,0.0,488.8360068018897,40,1.2042553191489362,3.3868749586921005,0,30,87,5.0212730753412906e-05,0.00012831882359569486,0.0,0.0012741380053135,87,0.0,0.0,0.0,0.0,0
Yongzhou_Liuzijie,140.5,81.55059779057416,0,281,281,0.14022607330208958,0.19990977386854197,0.0,0.8668063726267922,148,8.962495437623618,14.009511816504437,0.0,82.98933797594471,105,2.358156028368794,4.644985909189061,0,47,157,0.0006244287861574458,0.0013467289505704157,0.0,0.0117391978903085,157,0.0,0.0,0.0,0.0,0
Zhongshan_Sunwenxi,300.5,173.92670870225768,0,601,601,0.04528041591522865,0.10789677040379018,0.0,0.7764079965907625,164,8.019641813799455,25.35905357197086,0.0,364.7158295873875,85,1.2624584717607974,2.2764553266747356,0,18,287,0.000225333847204517,0.0004384543691105705,0.0,0.003028050353073,287,0.0,0.0,0.0,0.0,0
